,index,book_title,book_url,author_name,author_url,country_name,country_url
45,46,لعبة النسيان,/wiki/%D9%84%D8%B9%D8%A8%D8%A9_%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D8%A7%D9%86,محمد برادة,/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D8%B1%D8%A7%D8%AF%D8%A9,المغرب,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png
46,47,الريح الشتوية,/wiki/%D8%A7%D9%84%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%B4%D8%AA%D9%88%D9%8A%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),مبارك الربيع,/wiki/%D9%85%D8%A8%D8%A7%D8%B1%D9%83_%D8%B1%D8%A8%D9%8A%D8%B9,المغرب,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png
47,48,دار الباشا,/w/index.php?title=%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%A8%D8%A7%D8%B4%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,حسن نصر,/wiki/%D8%AD%D8%B3%D9%86_%D9%86%D8%B5%D8%B1,تونس,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png
48,49,مدينة الرياح,/w/index.php?title=%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%AD_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,موسى ولد ابنو,/wiki/%D9%85%D9%88%D8%B3%D9%89_%D9%88%D9%84%D8%AF_%D8%A7%D8%A8%D9%86%D9%88,موريتانيا,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/23px-Flag_of_Mauritania.svg.png
49,50,أبواب الروح السبعة,/w/index.php?title=%D8%A3%D8%A8%D9%88%D8%A7%D8%A8_%D8%A7%D9%84%D8%B1%D9%88%D8%AD_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9&amp;action=edit&amp;redlink=1,أيوب الحجلي,/wiki/%D8%A3%D9%8A%D9%88%D8%A8_%D8%A7%D9%84%D8%AD%D8%AC%D9%84%D9%8A,سوريا,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png
50,51,أيام الإنسان السبعة,/wiki/%D8%A3%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86_%D8%A7%D9%84%D8%B3%D8%A8%D8%B9%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),عبد الحكيم قاسم,/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85_%D9%82%D8%A7%D8%B3%D9%85,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
51,52,طائر الحوم,/w/index.php?title=%D8%B7%D8%A7%D8%A6%D8%B1_%D8%A7%D9%84%D8%AD%D9%88%D9%85_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,حليم بركات,/wiki/%D8%AD%D9%84%D9%8A%D9%85_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA,سوريا,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png
52,53,حكاية زهرة,/w/index.php?title=%D8%AD%D9%83%D8%A7%D9%8A%D8%A9_%D8%B2%D9%87%D8%B1%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,حنان الشيخ,/wiki/%D8%AD%D9%86%D8%A7%D9%86_%D8%A7%D9%84%D8%B4%D9%8A%D8%AE,لبنان,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/23px-Flag_of_Lebanon.svg.png
53,54,ريح الجنوب,/wiki/%D8%B1%D9%8A%D8%AD_%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),عبد الحميد بن هدوقة,/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%AF_%D8%A8%D9%86_%D9%87%D8%AF%D9%88%D9%82%D8%A9,الجزائر,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png
54,55,فردوس الجنون,/wiki/%D9%81%D8%B1%D8%AF%D9%88%D8%B3_%D8%A7%D9%84%D8%AC%D9%86%D9%88%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),أحمد يوسف داوود,/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D9%8A%D9%88%D8%B3%D9%81_%D8%AF%D8%A7%D9%88%D9%88%D8%AF,سوريا,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png
55,56,وسمية تخرج من البحر,/w/index.php?title=%D9%88%D8%B3%D9%85%D9%8A%D8%A9_%D8%AA%D8%AE%D8%B1%D8%AC_%D9%85%D9%86_%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,ليلى العثمان,/wiki/%D9%84%D9%8A%D9%84%D9%89_%D8%A7%D9%84%D8%B9%D8%AB%D9%85%D8%A7%D9%86,الكويت,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/23px-Flag_of_Kuwait.svg.png
56,57,اعترافات كاتم صوت,/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D9%81%D8%A7%D8%AA_%D9%83%D8%A7%D8%AA%D9%85_%D8%B5%D9%88%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),مؤنس الرزاز,/wiki/%D9%85%D8%A4%D9%86%D8%B3_%D8%A7%D9%84%D8%B1%D8%B2%D8%A7%D8%B2,الأردن,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/23px-Flag_of_Jordan.svg.png
57,58,رباعية بحري,/w/index.php?title=%D8%B1%D8%A8%D8%A7%D8%B9%D9%8A%D8%A9_%D8%A8%D8%AD%D8%B1%D9%8A_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,محمد جبريل,/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%AC%D8%A8%D8%B1%D9%8A%D9%84_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD),مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
58,59,صنعاء مدينة مفتوحة,/w/index.php?title=%D8%B5%D9%86%D8%B9%D8%A7%D8%A1_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,محمد عبد الولي,/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%88%D9%84%D9%8A,اليمن,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/23px-Flag_of_Yemen.svg.png
59,60,ثلاثية غرناطة,/wiki/%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9_%D8%BA%D8%B1%D9%86%D8%A7%D8%B7%D8%A9,رضوى عاشور,/wiki/%D8%B1%D8%B6%D9%88%D9%89_%D8%B9%D8%A7%D8%B4%D9%88%D8%B1,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
60,61,دعاء الكروان,/wiki/%D8%AF%D8%B9%D8%A7%D8%A1_%D8%A7%D9%84%D9%83%D8%B1%D9%88%D8%A7%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),طه حسين,/wiki/%D8%B7%D9%87_%D8%AD%D8%B3%D9%8A%D9%86,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
61,62,فساد الامكنة,/w/index.php?title=%D9%81%D8%B3%D8%A7%D8%AF_%D8%A7%D9%84%D8%A7%D9%85%D9%83%D9%86%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,صبري موسي,/wiki/%D8%B5%D8%A8%D8%B1%D9%8A_%D9%85%D9%88%D8%B3%D9%89,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
62,63,السقا مات,/wiki/%D8%A7%D9%84%D8%B3%D9%82%D8%A7_%D9%85%D8%A7%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),يوسف السباعي,/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%A7%D9%84%D8%B3%D8%A8%D8%A7%D8%B9%D9%8A,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
63,64,تغريبه بني حتحوت,/w/index.php?title=%D8%AA%D8%BA%D8%B1%D9%8A%D8%A8%D9%87_%D8%A8%D9%86%D9%8A_%D8%AD%D8%AA%D8%AD%D9%88%D8%AA_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,مجيد طوبيا,/wiki/%D9%85%D8%AC%D9%8A%D8%AF_%D8%B7%D9%88%D8%A8%D9%8A%D8%A7,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
64,65,بعد الغروب,/wiki/%D8%A8%D8%B9%D8%AF_%D8%A7%D9%84%D8%BA%D8%B1%D9%88%D8%A8_(%D9%83%D8%AA%D8%A7%D8%A8),محمد عبد الحليم عبد الله,/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D9%85_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%84%D9%87,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
65,66,قلوب علي الاسلاك,/w/index.php?title=%D9%82%D9%84%D9%88%D8%A8_%D8%B9%D9%84%D9%8A_%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%83_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,عبد السلام العجيلي,/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85_%D8%A7%D9%84%D8%B9%D8%AC%D9%8A%D9%84%D9%8A,سوريا,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png
66,67,عائشة,/wiki/%D8%B9%D8%A7%D8%A6%D8%B4%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),البشير بن سلامة,/wiki/%D8%A7%D9%84%D8%A8%D8%B4%D9%8A%D8%B1_%D8%A8%D9%86_%D8%B3%D9%84%D8%A7%D9%85%D8%A9,تونس,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png
67,68,الظل والصدي,/wiki/%D8%A7%D9%84%D8%B8%D9%84_%D9%88%D8%A7%D9%84%D8%B5%D8%AF%D9%89_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),يوسف حبشي الأشقر,/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%AD%D8%A8%D8%B4%D9%8A_%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%B1,لبنان,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/23px-Flag_of_Lebanon.svg.png
68,69,الدقلة في عراجينها,/wiki/%D8%A7%D9%84%D8%AF%D9%82%D9%84%D8%A9_%D9%81%D9%8A_%D8%B9%D8%B1%D8%A7%D8%AC%D9%8A%D9%86%D9%87%D8%A7_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),بشير خريف,/wiki/%D8%A8%D8%B4%D9%8A%D8%B1_%D8%AE%D8%B1%D9%8A%D9%81,تونس,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png
69,70,النخاس,/wiki/%D8%A7%D9%84%D9%86%D8%AE%D8%A7%D8%B3_(%D9%83%D8%AA%D8%A7%D8%A8),صلاح الدين بوجاه,/wiki/%D8%B5%D9%84%D8%A7%D8%AD_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A8%D9%88%D8%AC%D8%A7%D9%87,تونس,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png
70,71,باب الساحة,/w/index.php?title=%D8%A8%D8%A7%D8%A8_%D8%A7%D9%84%D8%B3%D8%A7%D8%AD%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,سحر خليفة,/wiki/%D8%B3%D8%AD%D8%B1_%D8%AE%D9%84%D9%8A%D9%81%D8%A9,فلسطين,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Palestine.svg/23px-Flag_of_Palestine.svg.png
71,72,سابع ايام الخلق,/w/index.php?title=%D8%B3%D8%A7%D8%A8%D8%B9_%D8%A7%D9%8A%D8%A7%D9%85_%D8%A7%D9%84%D8%AE%D9%84%D9%82_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,عبد الخالق الركابي,/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%AE%D8%A7%D9%84%D9%82_%D8%A7%D9%84%D8%B1%D9%83%D8%A7%D8%A8%D9%8A,العراق,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png
72,73,شيء من الخوف,/w/index.php?title=%D8%B4%D9%8A%D8%A1_%D9%85%D9%86_%D8%A7%D9%84%D8%AE%D9%88%D9%81_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,ثروت أباظة,/wiki/%D8%AB%D8%B1%D9%88%D8%AA_%D8%A3%D8%A8%D8%A7%D8%B8%D8%A9,مصر,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png
73,74,اللاز,/wiki/%D8%A7%D9%84%D9%84%D8%A7%D8%B2_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),الطاهر وطار,/wiki/%D8%A7%D9%84%D8%B7%D8%A7%D9%87%D8%B1_%D9%88%D8%B7%D8%A7%D8%B1,الجزائر,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png
74,75,المرأة والوردة,/w/index.php?title=%D8%A7%D9%84%D9%85%D8%B1%D8%A3%D8%A9_%D9%88%D8%A7%D9%84%D9%88%D8%B1%D8%AF%D8%A9_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)&amp;action=edit&amp;redlink=1,محمد زفزاف,/wiki/%D9%85%D8%AD%D9%85%D8%AF_%D8%B2%D9%81%D8%B2%D8%A7%D9%81,المغرب,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png
75,76,ألف عام وعام من الحنين,/wiki/%D8%A3%D9%84%D9%81_%D8%B9%D8%A7%D9%85_%D9%88%D8%B9%D8%A7%D9%85_%D9%85%D9%86_%D8%A7%D9%84%D8%AD%D9%86%D9%8A%D9%86_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9),رشيد بوجدرة,/wiki/%D8%B1%D8%B4%D9%8A%D8%AF_%D8%A8%D9%88%D8%AC%D8%AF%D8%B1%D8%A9,الجزائر,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png
